Comment,Designator,Footprint,LCSC
0.1u,C1,C_0603_1608Metric,C14663
4.7u,C2,C_0603_1608Metric,C19666
1.5k,"R2,R3",R_0603_1608Metric,C22843
10k,"R1,R4",R_0603_1608Metric,C25804
VL53L0X,U1,ST_VL53L0X,C91199
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
