Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,66.675,-67.945,0.0,top
C2,4.7u,C_0603_1608Metric,66.675,-66.04,0.0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,69.84,-71.12,270.0,bottom
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,72.385,-60.96,90.0,bottom
R1,10k,R_0603_1608Metric,66.675,-62.23,0.0,top
R2,1.5k,R_0603_1608Metric,73.279,-67.564,90.0,top
R3,1.5k,R_0603_1608Metric,71.628,-67.564,90.0,top
R4,10k,R_0603_1608Metric,66.675,-64.135,0.0,top
U1,VL53L0X,ST_VL53L0X,72.39,-64.478,0.0,top
