Comment,Designator,Footprint,LCSC
Conn_01x04,J3,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
3V3IN,SW2,SK-12D11VG3,
5VIN,SW1,SK-12D11VG3,
REG,J4,PinHeader_1x03_P2.54mm_Vertical,
OpenMV2,J2,PinSocket_1x08_P2.54mm_Vertical,
OpenMV1,J1,PinSocket_1x08_P2.54mm_Vertical,
LED,D2,LED_D3.0mm_Clear,
5VLED,D1,LED_D3.0mm_Clear,
