Comment,Designator,Footprint,LCSC
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C19274016
LED_ORANGE,D2,LED_1206_3216Metric,C2764895
5.1k,"R1,R2",R_0805_2012Metric,C27834
75,"R3,R4",R_0805_2012Metric,C441974
100n,"C1,C2",C_0805_2012Metric,C49678
LED_GREEN,D1,LED_1206_3216Metric,C499475
CH340E,U1,MSOP-10_3x3mm_P0.5mm,C99652
Conn_02x04_Counter_Clockwise,J2,PinHeader_2x04_P2.54mm_Vertical,
BOOT0,SW2,SW_PUSH_6mm,
NRST,SW1,SW_PUSH_6mm,
